K,bias,derrida_parameter,theoretical_lambda,classification
1,0.1,0.1767,0.18,ordered
1,0.15,0.3233,0.255,ordered
1,0.2,0.4533,0.32,ordered
1,0.25,0.3467,0.375,ordered
1,0.3,0.5033,0.42,ordered
1,0.35,0.4667,0.455,ordered
1,0.4,0.4833,0.48,ordered
1,0.45,0.61,0.495,ordered
1,0.5,0.5867,0.5,ordered
1,0.55,0.53,0.495,ordered
1,0.6,0.5533,0.48,ordered
1,0.65,0.46,0.455,ordered
1,0.7,0.52,0.42,ordered
1,0.75,0.3967,0.375,ordered
1,0.8,0.3033,0.32,ordered
1,0.85,0.3267,0.255,ordered
1,0.9,0.22,0.18,ordered
2,0.1,0.3367,0.36,ordered
2,0.15,0.5,0.51,ordered
2,0.2,0.5633,0.64,ordered
2,0.25,0.6967,0.75,ordered
2,0.3,0.9433,0.84,critical
2,0.35,1.0667,0.91,critical
2,0.4,1.1867,0.96,critical
2,0.45,0.9767,0.99,critical
2,0.5,0.8633,1.0,critical
2,0.55,0.9533,0.99,critical
2,0.6,1.0233,0.96,critical
2,0.65,0.9,0.91,critical
2,0.7,0.8533,0.84,critical
2,0.75,0.6967,0.75,ordered
2,0.8,0.5833,0.64,ordered
2,0.85,0.53,0.51,ordered
2,0.9,0.2367,0.36,ordered
3,0.1,0.4867,0.54,ordered
3,0.15,0.7467,0.765,ordered
3,0.2,0.7567,0.96,ordered
3,0.25,1.11,1.125,critical
3,0.3,1.3467,1.26,chaotic
3,0.35,1.2333,1.365,chaotic
3,0.4,1.45,1.44,chaotic
3,0.45,1.44,1.485,chaotic
3,0.5,1.47,1.5,chaotic
3,0.55,1.5667,1.485,chaotic
3,0.6,1.4033,1.44,chaotic
3,0.65,1.2267,1.365,chaotic
3,0.7,1.1233,1.26,critical
3,0.75,1.0367,1.125,critical
3,0.8,0.9467,0.96,critical
3,0.85,0.87,0.765,critical
3,0.9,0.5033,0.54,ordered
4,0.1,0.71,0.72,ordered
4,0.15,1.0333,1.02,critical
4,0.2,1.1467,1.28,critical
4,0.25,1.6233,1.5,chaotic
4,0.3,1.6433,1.68,chaotic
4,0.35,1.9467,1.82,chaotic
4,0.4,1.9567,1.92,chaotic
4,0.45,2.03,1.98,chaotic
4,0.5,1.97,2.0,chaotic
4,0.55,2.05,1.98,chaotic
4,0.6,1.8567,1.92,chaotic
4,0.65,1.65,1.82,chaotic
4,0.7,1.66,1.68,chaotic
4,0.75,1.6133,1.5,chaotic
4,0.8,1.4167,1.28,chaotic
4,0.85,1.1133,1.02,critical
4,0.9,0.7567,0.72,ordered
5,0.1,0.81,0.9,critical
5,0.15,1.12,1.275,critical
5,0.2,1.6533,1.6,chaotic
5,0.25,1.9,1.875,chaotic
5,0.3,2.1533,2.1,chaotic
5,0.35,2.2633,2.275,chaotic
5,0.4,2.2833,2.4,chaotic
5,0.45,2.1967,2.475,chaotic
5,0.5,2.4833,2.5,chaotic
5,0.55,2.5,2.475,chaotic
5,0.6,2.2867,2.4,chaotic
5,0.65,2.3567,2.275,chaotic
5,0.7,2.0467,2.1,chaotic
5,0.75,1.7967,1.875,chaotic
5,0.8,1.6067,1.6,chaotic
5,0.85,1.2567,1.275,chaotic
5,0.9,0.9567,0.9,critical
6,0.1,1.0933,1.08,critical
6,0.15,1.69,1.53,chaotic
6,0.2,1.8733,1.92,chaotic
6,0.25,2.1967,2.25,chaotic
6,0.3,2.57,2.52,chaotic
6,0.35,2.7033,2.73,chaotic
6,0.4,2.81,2.88,chaotic
6,0.45,2.7667,2.97,chaotic
6,0.5,2.94,3.0,chaotic
6,0.55,3.0233,2.97,chaotic
6,0.6,2.98,2.88,chaotic
6,0.65,2.73,2.73,chaotic
6,0.7,2.7133,2.52,chaotic
6,0.75,2.1933,2.25,chaotic
6,0.8,1.85,1.92,chaotic
6,0.85,1.4433,1.53,chaotic
6,0.9,1.0433,1.08,critical
