generation,cooperation_rate,average_payoff,frac_AllC,frac_AllD,frac_TFT,frac_GTFT,frac_Pavlov,frac_Random,frac_Grudger
0,0.6964,2.4882,0.1524,0.1504,0.2044,0.0988,0.1356,0.1040,0.1544
1,0.6017,2.2483,0.0688,0.2920,0.1980,0.0616,0.0908,0.0416,0.2472
2,0.8512,2.7208,0.0680,0.1016,0.2660,0.0768,0.1116,0.0088,0.3672
3,0.9542,2.9139,0.0684,0.0328,0.2996,0.0744,0.1200,0.0024,0.4024
4,0.9868,2.9759,0.0700,0.0088,0.3024,0.0748,0.1220,0.0012,0.4208
5,0.9912,2.9835,0.0688,0.0064,0.3016,0.0740,0.1232,0.0000,0.4260
6,0.9967,2.9943,0.0688,0.0020,0.3028,0.0740,0.1240,0.0004,0.4280
7,0.9908,2.9836,0.0652,0.0076,0.3020,0.0740,0.1232,0.0000,0.4280
8,0.9863,2.9743,0.0600,0.0108,0.3008,0.0748,0.1236,0.0000,0.4300
9,0.9905,2.9822,0.0564,0.0064,0.3024,0.0752,0.1248,0.0008,0.4340
10,0.9946,2.9899,0.0544,0.0040,0.3044,0.0752,0.1252,0.0000,0.4368
11,0.9993,2.9987,0.0536,0.0004,0.3072,0.0768,0.1256,0.0000,0.4364
12,1.0000,3.0000,0.0532,0.0000,0.3064,0.0780,0.1260,0.0000,0.4364
13,1.0000,3.0000,0.0532,0.0000,0.3056,0.0784,0.1260,0.0000,0.4368
14,0.9985,2.9971,0.0536,0.0008,0.3052,0.0784,0.1260,0.0000,0.4360
15,1.0000,3.0000,0.0540,0.0000,0.3068,0.0784,0.1264,0.0000,0.4344
16,0.9992,2.9985,0.0540,0.0004,0.3068,0.0784,0.1264,0.0000,0.4340
17,1.0000,3.0000,0.0540,0.0000,0.3060,0.0784,0.1268,0.0000,0.4348
18,1.0000,3.0000,0.0540,0.0000,0.3060,0.0784,0.1272,0.0000,0.4344
19,0.9995,2.9992,0.0540,0.0000,0.3064,0.0784,0.1272,0.0004,0.4336
20,1.0000,3.0000,0.0540,0.0000,0.3060,0.0780,0.1272,0.0000,0.4348
21,1.0000,3.0000,0.0544,0.0000,0.3056,0.0784,0.1268,0.0000,0.4348
22,1.0000,3.0000,0.0544,0.0000,0.3056,0.0784,0.1268,0.0000,0.4348
23,1.0000,3.0000,0.0552,0.0000,0.3048,0.0784,0.1268,0.0000,0.4348
24,1.0000,3.0000,0.0552,0.0000,0.3040,0.0792,0.1268,0.0000,0.4348
25,0.9995,2.9993,0.0552,0.0000,0.3040,0.0796,0.1268,0.0004,0.4340
26,0.9986,2.9973,0.0544,0.0008,0.3036,0.0796,0.1280,0.0000,0.4336
27,0.9994,2.9989,0.0548,0.0004,0.3044,0.0788,0.1280,0.0000,0.4336
28,0.9997,2.9995,0.0548,0.0000,0.3068,0.0760,0.1280,0.0004,0.4340
29,1.0000,3.0000,0.0552,0.0000,0.3060,0.0756,0.1284,0.0000,0.4348
30,1.0000,3.0000,0.0552,0.0000,0.3060,0.0756,0.1284,0.0000,0.4348
31,0.9995,2.9993,0.0552,0.0000,0.3056,0.0756,0.1288,0.0004,0.4344
32,1.0000,3.0000,0.0540,0.0000,0.3056,0.0756,0.1288,0.0000,0.4360
33,1.0000,3.0000,0.0540,0.0000,0.3056,0.0756,0.1288,0.0000,0.4360
34,1.0000,3.0000,0.0540,0.0000,0.3052,0.0756,0.1288,0.0000,0.4364
35,0.9997,2.9996,0.0540,0.0000,0.3052,0.0756,0.1284,0.0004,0.4364
36,0.9995,2.9992,0.0536,0.0000,0.3028,0.0756,0.1284,0.0004,0.4392
37,0.9996,2.9995,0.0536,0.0000,0.3012,0.0756,0.1292,0.0004,0.4400
38,1.0000,3.0000,0.0544,0.0000,0.3020,0.0756,0.1280,0.0000,0.4400
39,1.0000,3.0000,0.0548,0.0000,0.3020,0.0756,0.1280,0.0000,0.4396
40,0.9995,2.9992,0.0552,0.0000,0.3020,0.0756,0.1276,0.0004,0.4392
41,1.0000,3.0000,0.0560,0.0000,0.3020,0.0756,0.1276,0.0000,0.4388
42,0.9997,2.9996,0.0560,0.0000,0.3024,0.0756,0.1272,0.0004,0.4384
43,1.0000,3.0000,0.0544,0.0000,0.3020,0.0756,0.1268,0.0000,0.4412
44,1.0000,3.0000,0.0544,0.0000,0.3020,0.0756,0.1272,0.0000,0.4408
45,0.9985,2.9974,0.0540,0.0004,0.3012,0.0756,0.1276,0.0008,0.4404
46,1.0000,3.0000,0.0540,0.0000,0.2984,0.0752,0.1280,0.0000,0.4444
47,0.9992,2.9985,0.0540,0.0004,0.2984,0.0748,0.1284,0.0000,0.4440
48,0.9995,2.9992,0.0544,0.0000,0.2984,0.0748,0.1284,0.0004,0.4436
49,1.0000,3.0000,0.0544,0.0000,0.2988,0.0740,0.1284,0.0000,0.4444
50,0.9993,2.9986,0.0548,0.0004,0.2988,0.0740,0.1280,0.0000,0.4440
51,0.9993,2.9986,0.0552,0.0004,0.2980,0.0752,0.1280,0.0000,0.4432
52,1.0000,3.0000,0.0552,0.0000,0.2984,0.0752,0.1280,0.0000,0.4432
53,1.0000,3.0000,0.0556,0.0000,0.2980,0.0752,0.1280,0.0000,0.4432
54,0.9988,2.9978,0.0564,0.0004,0.2980,0.0748,0.1280,0.0004,0.4420
55,0.9996,2.9995,0.0568,0.0000,0.2988,0.0740,0.1284,0.0004,0.4416
56,1.0000,3.0000,0.0564,0.0000,0.2992,0.0728,0.1276,0.0000,0.4440
57,0.9980,2.9963,0.0568,0.0008,0.2980,0.0732,0.1280,0.0004,0.4428
58,0.9993,2.9990,0.0564,0.0000,0.2976,0.0736,0.1280,0.0008,0.4436
59,1.0000,3.0000,0.0556,0.0000,0.2956,0.0736,0.1284,0.0000,0.4468
60,1.0000,3.0000,0.0560,0.0000,0.2952,0.0732,0.1280,0.0000,0.4476
61,1.0000,3.0000,0.0560,0.0000,0.2948,0.0740,0.1280,0.0000,0.4472
62,0.9996,2.9993,0.0560,0.0000,0.2944,0.0748,0.1288,0.0004,0.4456
63,0.9993,2.9987,0.0556,0.0004,0.2920,0.0748,0.1292,0.0000,0.4480
64,1.0000,3.0000,0.0556,0.0000,0.2924,0.0748,0.1284,0.0000,0.4488
65,1.0000,3.0000,0.0556,0.0000,0.2920,0.0756,0.1284,0.0000,0.4484
66,0.9988,2.9978,0.0552,0.0004,0.2920,0.0760,0.1280,0.0004,0.4480
67,0.9991,2.9987,0.0548,0.0000,0.2916,0.0752,0.1280,0.0008,0.4496
68,1.0000,3.0000,0.0556,0.0000,0.2884,0.0756,0.1268,0.0000,0.4536
69,1.0000,3.0000,0.0556,0.0000,0.2884,0.0756,0.1268,0.0000,0.4536
70,1.0000,3.0000,0.0556,0.0000,0.2884,0.0756,0.1268,0.0000,0.4536
71,0.9996,2.9993,0.0560,0.0000,0.2880,0.0756,0.1268,0.0004,0.4532
72,0.9995,2.9992,0.0564,0.0000,0.2876,0.0756,0.1264,0.0004,0.4536
73,0.9990,2.9985,0.0564,0.0000,0.2876,0.0756,0.1292,0.0008,0.4504
74,0.9991,2.9986,0.0564,0.0000,0.2844,0.0756,0.1284,0.0008,0.4544
75,1.0000,3.0000,0.0564,0.0000,0.2840,0.0760,0.1284,0.0000,0.4552
76,0.9996,2.9995,0.0564,0.0000,0.2840,0.0756,0.1284,0.0004,0.4552
77,0.9992,2.9985,0.0568,0.0004,0.2824,0.0756,0.1288,0.0000,0.4560
78,1.0000,3.0000,0.0572,0.0000,0.2824,0.0760,0.1292,0.0000,0.4552
79,0.9993,2.9987,0.0572,0.0004,0.2820,0.0760,0.1296,0.0000,0.4548
80,0.9993,2.9987,0.0568,0.0004,0.2812,0.0760,0.1296,0.0000,0.4560
81,1.0000,3.0000,0.0568,0.0000,0.2808,0.0752,0.1300,0.0000,0.4572
82,0.9993,2.9986,0.0572,0.0004,0.2804,0.0752,0.1300,0.0000,0.4568
83,0.9996,2.9993,0.0572,0.0000,0.2788,0.0764,0.1300,0.0004,0.4572
84,1.0000,3.0000,0.0576,0.0000,0.2792,0.0764,0.1304,0.0000,0.4564
85,1.0000,3.0000,0.0576,0.0000,0.2792,0.0764,0.1304,0.0000,0.4564
86,1.0000,3.0000,0.0576,0.0000,0.2792,0.0764,0.1308,0.0000,0.4560
87,1.0000,3.0000,0.0576,0.0000,0.2792,0.0764,0.1308,0.0000,0.4560
88,0.9985,2.9972,0.0576,0.0008,0.2792,0.0764,0.1308,0.0000,0.4552
89,0.9985,2.9972,0.0576,0.0008,0.2796,0.0764,0.1308,0.0000,0.4548
90,0.9988,2.9978,0.0572,0.0004,0.2800,0.0764,0.1312,0.0004,0.4544
91,0.9996,2.9993,0.0576,0.0000,0.2788,0.0764,0.1304,0.0004,0.4564
92,1.0000,3.0000,0.0576,0.0000,0.2784,0.0760,0.1300,0.0000,0.4580
93,0.9991,2.9986,0.0580,0.0000,0.2780,0.0760,0.1300,0.0008,0.4572
94,0.9996,2.9993,0.0576,0.0000,0.2772,0.0740,0.1300,0.0004,0.4608
95,0.9996,2.9994,0.0576,0.0000,0.2776,0.0736,0.1296,0.0004,0.4612
96,0.9989,2.9980,0.0580,0.0004,0.2764,0.0732,0.1292,0.0004,0.4624
97,1.0000,3.0000,0.0588,0.0000,0.2740,0.0740,0.1296,0.0000,0.4636
98,1.0000,3.0000,0.0588,0.0000,0.2736,0.0740,0.1296,0.0000,0.4640
99,1.0000,3.0000,0.0588,0.0000,0.2736,0.0744,0.1300,0.0000,0.4632
