generation,cooperation_rate,average_payoff,frac_AllC,frac_AllD,frac_TFT,frac_GTFT,frac_Pavlov,frac_Random,frac_Grudger
0,0.6964,2.4882,0.1524,0.1504,0.2044,0.0988,0.1356,0.1040,0.1544
1,0.6072,2.2650,0.0744,0.2824,0.1976,0.0640,0.0952,0.0464,0.2400
2,0.8401,2.7043,0.0748,0.1036,0.2636,0.0840,0.1108,0.0176,0.3456
3,0.9259,2.8639,0.0732,0.0452,0.2804,0.0892,0.1136,0.0120,0.3864
4,0.9620,2.9338,0.0728,0.0152,0.2792,0.0904,0.1124,0.0164,0.4136
5,0.9702,2.9486,0.0664,0.0120,0.2724,0.0932,0.1148,0.0116,0.4296
6,0.9676,2.9423,0.0672,0.0180,0.2564,0.0932,0.1112,0.0064,0.4476
7,0.9688,2.9432,0.0684,0.0180,0.2448,0.0896,0.1116,0.0044,0.4632
8,0.9647,2.9367,0.0648,0.0192,0.2400,0.0940,0.1068,0.0064,0.4688
9,0.9766,2.9589,0.0672,0.0096,0.2384,0.0968,0.1076,0.0076,0.4728
10,0.9724,2.9523,0.0684,0.0108,0.2208,0.0964,0.1124,0.0108,0.4804
11,0.9739,2.9561,0.0672,0.0076,0.2156,0.0948,0.1200,0.0128,0.4820
12,0.9635,2.9360,0.0628,0.0144,0.1988,0.0876,0.1172,0.0148,0.5044
13,0.9701,2.9472,0.0624,0.0100,0.1976,0.0880,0.1196,0.0116,0.5108
14,0.9811,2.9667,0.0644,0.0076,0.1948,0.0896,0.1216,0.0052,0.5168
15,0.9783,2.9623,0.0636,0.0076,0.1872,0.0908,0.1304,0.0080,0.5124
16,0.9743,2.9549,0.0668,0.0088,0.1744,0.0860,0.1272,0.0100,0.5268
17,0.9772,2.9605,0.0668,0.0080,0.1672,0.0880,0.1324,0.0080,0.5296
18,0.9769,2.9593,0.0716,0.0100,0.1576,0.0920,0.1188,0.0072,0.5428
19,0.9800,2.9654,0.0712,0.0068,0.1552,0.0916,0.1156,0.0072,0.5524
20,0.9802,2.9655,0.0788,0.0072,0.1480,0.0908,0.1164,0.0072,0.5516
21,0.9806,2.9681,0.0768,0.0040,0.1436,0.0880,0.1160,0.0132,0.5584
22,0.9779,2.9623,0.0696,0.0064,0.1416,0.0828,0.1256,0.0112,0.5628
23,0.9721,2.9510,0.0684,0.0112,0.1348,0.0804,0.1232,0.0092,0.5728
24,0.9670,2.9423,0.0672,0.0140,0.1292,0.0824,0.1208,0.0108,0.5756
25,0.9779,2.9620,0.0660,0.0080,0.1324,0.0772,0.1272,0.0080,0.5812
26,0.9743,2.9552,0.0676,0.0088,0.1204,0.0720,0.1260,0.0088,0.5964
27,0.9739,2.9536,0.0688,0.0116,0.1084,0.0728,0.1300,0.0068,0.6016
28,0.9718,2.9498,0.0644,0.0128,0.1036,0.0708,0.1260,0.0068,0.6156
29,0.9624,2.9326,0.0672,0.0172,0.1032,0.0732,0.1172,0.0092,0.6128
30,0.9745,2.9549,0.0728,0.0100,0.0980,0.0732,0.1140,0.0072,0.6248
31,0.9798,2.9642,0.0716,0.0092,0.0992,0.0744,0.1156,0.0048,0.6252
32,0.9778,2.9610,0.0708,0.0096,0.1024,0.0776,0.1100,0.0052,0.6244
33,0.9705,2.9467,0.0736,0.0128,0.1012,0.0740,0.1024,0.0076,0.6284
34,0.9873,2.9774,0.0736,0.0056,0.1016,0.0740,0.0976,0.0028,0.6448
35,0.9823,2.9691,0.0748,0.0072,0.1028,0.0808,0.0912,0.0048,0.6384
36,0.9684,2.9445,0.0740,0.0128,0.1012,0.0780,0.0972,0.0112,0.6256
37,0.9780,2.9610,0.0780,0.0100,0.1012,0.0736,0.0972,0.0048,0.6352
38,0.9743,2.9543,0.0768,0.0124,0.1008,0.0724,0.0956,0.0056,0.6364
39,0.9699,2.9454,0.0736,0.0152,0.0964,0.0736,0.0956,0.0060,0.6396
40,0.9777,2.9608,0.0740,0.0088,0.0932,0.0724,0.0968,0.0068,0.6480
41,0.9746,2.9550,0.0760,0.0100,0.0904,0.0748,0.0920,0.0084,0.6484
42,0.9812,2.9673,0.0716,0.0064,0.0928,0.0760,0.0952,0.0068,0.6512
43,0.9810,2.9665,0.0708,0.0068,0.0916,0.0752,0.0936,0.0060,0.6560
44,0.9722,2.9508,0.0752,0.0104,0.0904,0.0764,0.0888,0.0080,0.6508
45,0.9765,2.9580,0.0720,0.0084,0.0880,0.0776,0.0936,0.0072,0.6532
46,0.9769,2.9585,0.0744,0.0088,0.0904,0.0748,0.0964,0.0064,0.6488
47,0.9797,2.9644,0.0740,0.0068,0.0892,0.0824,0.0992,0.0072,0.6412
48,0.9775,2.9612,0.0724,0.0076,0.0952,0.0772,0.0944,0.0088,0.6444
49,0.9815,2.9675,0.0704,0.0064,0.0940,0.0744,0.0944,0.0064,0.6540
50,0.9849,2.9742,0.0732,0.0044,0.0908,0.0796,0.0884,0.0068,0.6568
51,0.9749,2.9548,0.0696,0.0116,0.0848,0.0836,0.0840,0.0052,0.6612
52,0.9765,2.9581,0.0720,0.0092,0.0844,0.0816,0.0856,0.0064,0.6608
53,0.9821,2.9691,0.0712,0.0064,0.0868,0.0776,0.0848,0.0064,0.6668
54,0.9720,2.9521,0.0680,0.0080,0.0868,0.0764,0.0832,0.0132,0.6644
55,0.9731,2.9519,0.0656,0.0120,0.0780,0.0772,0.0884,0.0076,0.6712
56,0.9784,2.9626,0.0648,0.0068,0.0768,0.0760,0.0916,0.0084,0.6756
57,0.9820,2.9691,0.0656,0.0048,0.0804,0.0760,0.0912,0.0084,0.6736
58,0.9693,2.9473,0.0644,0.0088,0.0796,0.0736,0.0884,0.0144,0.6708
59,0.9797,2.9643,0.0600,0.0072,0.0756,0.0700,0.0908,0.0068,0.6896
60,0.9819,2.9680,0.0576,0.0068,0.0776,0.0748,0.0924,0.0052,0.6856
61,0.9695,2.9455,0.0564,0.0140,0.0772,0.0780,0.0880,0.0072,0.6792
62,0.9764,2.9579,0.0552,0.0096,0.0764,0.0784,0.0852,0.0064,0.6888
63,0.9688,2.9446,0.0556,0.0128,0.0812,0.0784,0.0760,0.0092,0.6868
64,0.9753,2.9563,0.0592,0.0096,0.0752,0.0724,0.0712,0.0084,0.7040
65,0.9747,2.9551,0.0584,0.0088,0.0748,0.0660,0.0748,0.0084,0.7088
66,0.9754,2.9565,0.0568,0.0084,0.0772,0.0652,0.0792,0.0080,0.7052
67,0.9775,2.9607,0.0584,0.0064,0.0740,0.0624,0.0812,0.0092,0.7084
68,0.9768,2.9587,0.0604,0.0088,0.0740,0.0556,0.0840,0.0064,0.7108
69,0.9821,2.9684,0.0628,0.0068,0.0776,0.0536,0.0868,0.0052,0.7072
70,0.9750,2.9558,0.0632,0.0080,0.0816,0.0512,0.0876,0.0088,0.6996
71,0.9808,2.9661,0.0620,0.0064,0.0804,0.0480,0.0968,0.0068,0.6996
72,0.9730,2.9529,0.0608,0.0084,0.0828,0.0540,0.0940,0.0104,0.6896
73,0.9701,2.9466,0.0604,0.0112,0.0816,0.0508,0.1004,0.0084,0.6872
74,0.9746,2.9553,0.0624,0.0088,0.0800,0.0484,0.0992,0.0088,0.6924
75,0.9767,2.9589,0.0620,0.0084,0.0816,0.0460,0.0976,0.0076,0.6968
76,0.9782,2.9610,0.0584,0.0080,0.0756,0.0508,0.0964,0.0064,0.7044
77,0.9676,2.9416,0.0604,0.0136,0.0816,0.0564,0.0944,0.0084,0.6852
78,0.9755,2.9568,0.0656,0.0088,0.0788,0.0576,0.0940,0.0076,0.6876
79,0.9815,2.9669,0.0720,0.0080,0.0756,0.0552,0.0936,0.0040,0.6916
80,0.9695,2.9457,0.0680,0.0112,0.0756,0.0568,0.0916,0.0096,0.6872
81,0.9808,2.9662,0.0624,0.0068,0.0752,0.0592,0.0964,0.0060,0.6940
82,0.9822,2.9690,0.0688,0.0056,0.0732,0.0580,0.0980,0.0068,0.6896
83,0.9809,2.9664,0.0712,0.0068,0.0728,0.0560,0.0984,0.0060,0.6888
84,0.9756,2.9564,0.0728,0.0092,0.0684,0.0568,0.0952,0.0068,0.6908
85,0.9751,2.9549,0.0760,0.0108,0.0764,0.0548,0.0868,0.0048,0.6904
86,0.9765,2.9582,0.0748,0.0092,0.0828,0.0568,0.0880,0.0076,0.6808
87,0.9798,2.9644,0.0744,0.0080,0.0820,0.0544,0.0880,0.0056,0.6876
88,0.9779,2.9616,0.0724,0.0076,0.0772,0.0552,0.0896,0.0100,0.6880
89,0.9781,2.9624,0.0736,0.0060,0.0764,0.0560,0.0960,0.0096,0.6824
90,0.9780,2.9622,0.0732,0.0076,0.0740,0.0564,0.0888,0.0080,0.6920
91,0.9806,2.9654,0.0680,0.0080,0.0764,0.0620,0.0856,0.0048,0.6952
92,0.9826,2.9687,0.0684,0.0084,0.0764,0.0620,0.0900,0.0040,0.6908
93,0.9742,2.9543,0.0644,0.0088,0.0784,0.0640,0.0880,0.0088,0.6876
94,0.9800,2.9643,0.0704,0.0068,0.0792,0.0684,0.0820,0.0064,0.6868
95,0.9829,2.9695,0.0700,0.0068,0.0768,0.0740,0.0788,0.0044,0.6892
96,0.9760,2.9578,0.0760,0.0088,0.0788,0.0728,0.0764,0.0076,0.6796
97,0.9741,2.9533,0.0748,0.0120,0.0764,0.0668,0.0832,0.0056,0.6812
98,0.9801,2.9656,0.0740,0.0060,0.0852,0.0668,0.0840,0.0084,0.6756
99,0.9784,2.9620,0.0716,0.0080,0.0836,0.0708,0.0804,0.0068,0.6788
100,0.9715,2.9500,0.0716,0.0096,0.0784,0.0712,0.0876,0.0112,0.6704
101,0.9762,2.9576,0.0720,0.0100,0.0728,0.0744,0.0856,0.0056,0.6796
102,0.9811,2.9674,0.0764,0.0052,0.0740,0.0704,0.0832,0.0084,0.6824
103,0.9815,2.9677,0.0736,0.0064,0.0740,0.0724,0.0824,0.0064,0.6848
104,0.9830,2.9695,0.0744,0.0068,0.0780,0.0712,0.0868,0.0044,0.6784
105,0.9776,2.9605,0.0732,0.0080,0.0744,0.0720,0.0844,0.0080,0.6800
106,0.9799,2.9656,0.0748,0.0056,0.0700,0.0676,0.0860,0.0092,0.6868
107,0.9793,2.9639,0.0720,0.0068,0.0668,0.0668,0.0804,0.0080,0.6992
108,0.9786,2.9621,0.0732,0.0076,0.0656,0.0732,0.0756,0.0068,0.6980
109,0.9780,2.9613,0.0780,0.0076,0.0632,0.0720,0.0752,0.0076,0.6964
110,0.9797,2.9652,0.0760,0.0056,0.0632,0.0720,0.0764,0.0088,0.6980
111,0.9759,2.9582,0.0740,0.0080,0.0628,0.0716,0.0800,0.0088,0.6948
112,0.9748,2.9558,0.0668,0.0112,0.0608,0.0752,0.0808,0.0080,0.6972
113,0.9808,2.9650,0.0608,0.0084,0.0604,0.0740,0.0788,0.0036,0.7140
114,0.9796,2.9635,0.0628,0.0084,0.0688,0.0744,0.0828,0.0048,0.6980
115,0.9762,2.9588,0.0640,0.0092,0.0704,0.0768,0.0836,0.0080,0.6880
116,0.9761,2.9578,0.0648,0.0088,0.0644,0.0760,0.0924,0.0076,0.6860
117,0.9829,2.9701,0.0664,0.0060,0.0676,0.0732,0.0976,0.0060,0.6832
118,0.9740,2.9555,0.0664,0.0068,0.0652,0.0696,0.0956,0.0132,0.6832
119,0.9698,2.9462,0.0664,0.0128,0.0572,0.0724,0.0896,0.0084,0.6932
120,0.9788,2.9612,0.0620,0.0096,0.0572,0.0720,0.0944,0.0044,0.7004
121,0.9833,2.9704,0.0644,0.0052,0.0596,0.0736,0.0976,0.0060,0.6936
122,0.9765,2.9596,0.0664,0.0060,0.0612,0.0756,0.0976,0.0112,0.6820
123,0.9797,2.9646,0.0660,0.0068,0.0608,0.0732,0.0976,0.0072,0.6884
124,0.9660,2.9387,0.0676,0.0156,0.0608,0.0712,0.0944,0.0072,0.6832
125,0.9821,2.9690,0.0732,0.0056,0.0628,0.0704,0.0924,0.0072,0.6884
126,0.9760,2.9570,0.0792,0.0092,0.0604,0.0712,0.0916,0.0068,0.6816
127,0.9803,2.9656,0.0816,0.0060,0.0608,0.0688,0.0920,0.0080,0.6828
128,0.9804,2.9656,0.0800,0.0072,0.0636,0.0656,0.0896,0.0064,0.6876
129,0.9748,2.9552,0.0784,0.0088,0.0672,0.0584,0.0956,0.0092,0.6824
130,0.9774,2.9594,0.0832,0.0096,0.0664,0.0604,0.0944,0.0052,0.6808
131,0.9795,2.9636,0.0852,0.0076,0.0704,0.0592,0.0924,0.0064,0.6788
132,0.9765,2.9586,0.0864,0.0096,0.0652,0.0576,0.0920,0.0072,0.6820
133,0.9762,2.9580,0.0908,0.0088,0.0676,0.0544,0.0884,0.0072,0.6828
134,0.9795,2.9634,0.0836,0.0080,0.0696,0.0572,0.0860,0.0056,0.6900
135,0.9783,2.9620,0.0848,0.0076,0.0712,0.0588,0.0808,0.0076,0.6892
136,0.9706,2.9485,0.0832,0.0116,0.0716,0.0612,0.0848,0.0096,0.6780
137,0.9731,2.9528,0.0792,0.0128,0.0740,0.0552,0.0932,0.0072,0.6784
138,0.9707,2.9473,0.0764,0.0148,0.0772,0.0572,0.0936,0.0048,0.6760
139,0.9680,2.9420,0.0708,0.0168,0.0764,0.0552,0.0956,0.0060,0.6792
140,0.9691,2.9444,0.0748,0.0140,0.0780,0.0592,0.0904,0.0072,0.6764
141,0.9745,2.9547,0.0756,0.0112,0.0752,0.0580,0.0940,0.0064,0.6796
142,0.9763,2.9594,0.0788,0.0088,0.0732,0.0564,0.1012,0.0092,0.6724
143,0.9662,2.9389,0.0724,0.0152,0.0696,0.0572,0.0916,0.0068,0.6872
144,0.9799,2.9646,0.0768,0.0076,0.0688,0.0596,0.0956,0.0060,0.6856
145,0.9786,2.9611,0.0724,0.0096,0.0728,0.0624,0.0912,0.0052,0.6864
146,0.9845,2.9729,0.0724,0.0048,0.0752,0.0640,0.0944,0.0060,0.6832
147,0.9708,2.9484,0.0684,0.0112,0.0788,0.0660,0.0904,0.0080,0.6772
148,0.9730,2.9525,0.0664,0.0104,0.0812,0.0644,0.0888,0.0088,0.6800
149,0.9749,2.9555,0.0580,0.0120,0.0840,0.0636,0.0860,0.0060,0.6904
150,0.9787,2.9618,0.0592,0.0096,0.0820,0.0644,0.0852,0.0056,0.6940
151,0.9796,2.9646,0.0640,0.0068,0.0868,0.0672,0.0808,0.0076,0.6868
152,0.9816,2.9672,0.0636,0.0076,0.0884,0.0668,0.0840,0.0044,0.6852
153,0.9781,2.9614,0.0604,0.0072,0.0868,0.0708,0.0916,0.0076,0.6756
154,0.9769,2.9590,0.0608,0.0088,0.0840,0.0748,0.0928,0.0076,0.6712
155,0.9779,2.9611,0.0576,0.0080,0.0896,0.0748,0.0932,0.0068,0.6700
156,0.9789,2.9623,0.0564,0.0072,0.0892,0.0772,0.0900,0.0068,0.6732
157,0.9790,2.9636,0.0600,0.0064,0.0884,0.0748,0.0892,0.0088,0.6724
158,0.9798,2.9635,0.0576,0.0076,0.0868,0.0692,0.0860,0.0056,0.6872
159,0.9712,2.9480,0.0608,0.0116,0.0816,0.0708,0.0832,0.0072,0.6848
160,0.9788,2.9624,0.0648,0.0076,0.0836,0.0704,0.0840,0.0064,0.6832
161,0.9843,2.9723,0.0716,0.0052,0.0868,0.0664,0.0860,0.0056,0.6784
162,0.9805,2.9657,0.0720,0.0060,0.0852,0.0648,0.0932,0.0072,0.6716
163,0.9838,2.9723,0.0724,0.0048,0.0872,0.0644,0.0956,0.0068,0.6688
164,0.9792,2.9640,0.0696,0.0064,0.0884,0.0628,0.0988,0.0084,0.6656
165,0.9794,2.9638,0.0668,0.0072,0.0884,0.0636,0.0976,0.0068,0.6696
166,0.9808,2.9663,0.0672,0.0072,0.0868,0.0628,0.1004,0.0060,0.6696
167,0.9772,2.9596,0.0676,0.0084,0.0864,0.0636,0.1000,0.0068,0.6672
168,0.9731,2.9534,0.0688,0.0096,0.0848,0.0668,0.0936,0.0092,0.6672
169,0.9736,2.9539,0.0612,0.0100,0.0804,0.0612,0.0896,0.0092,0.6884
170,0.9775,2.9603,0.0604,0.0076,0.0752,0.0624,0.0844,0.0076,0.7024
171,0.9685,2.9439,0.0664,0.0128,0.0740,0.0648,0.0844,0.0084,0.6892
172,0.9762,2.9578,0.0640,0.0104,0.0780,0.0584,0.0884,0.0064,0.6944
173,0.9815,2.9668,0.0664,0.0076,0.0776,0.0648,0.0880,0.0048,0.6908
174,0.9706,2.9476,0.0672,0.0124,0.0760,0.0712,0.0940,0.0080,0.6712
175,0.9808,2.9666,0.0680,0.0080,0.0796,0.0716,0.0888,0.0060,0.6780
176,0.9758,2.9573,0.0668,0.0100,0.0812,0.0652,0.0840,0.0064,0.6864
177,0.9729,2.9516,0.0676,0.0108,0.0800,0.0628,0.0836,0.0068,0.6884
178,0.9766,2.9590,0.0660,0.0092,0.0816,0.0596,0.0848,0.0076,0.6912
179,0.9812,2.9671,0.0672,0.0068,0.0756,0.0572,0.0804,0.0068,0.7060
180,0.9772,2.9603,0.0648,0.0076,0.0772,0.0560,0.0836,0.0084,0.7024
181,0.9757,2.9575,0.0600,0.0084,0.0820,0.0536,0.0860,0.0080,0.7020
182,0.9779,2.9609,0.0580,0.0084,0.0828,0.0528,0.0952,0.0064,0.6964
183,0.9783,2.9613,0.0564,0.0080,0.0880,0.0476,0.0912,0.0076,0.7012
184,0.9796,2.9641,0.0544,0.0068,0.0872,0.0520,0.0940,0.0072,0.6984
185,0.9751,2.9569,0.0544,0.0060,0.0820,0.0552,0.0996,0.0128,0.6900
186,0.9793,2.9625,0.0564,0.0088,0.0860,0.0524,0.1012,0.0044,0.6908
187,0.9715,2.9492,0.0532,0.0100,0.0864,0.0496,0.1044,0.0088,0.6876
188,0.9820,2.9677,0.0556,0.0068,0.0872,0.0432,0.1000,0.0048,0.7024
189,0.9799,2.9645,0.0556,0.0068,0.0892,0.0416,0.1012,0.0068,0.6988
190,0.9843,2.9718,0.0556,0.0064,0.0828,0.0456,0.1012,0.0036,0.7048
191,0.9821,2.9691,0.0592,0.0056,0.0824,0.0512,0.0996,0.0072,0.6948
192,0.9772,2.9589,0.0624,0.0096,0.0836,0.0540,0.0992,0.0064,0.6848
193,0.9828,2.9693,0.0620,0.0068,0.0844,0.0548,0.0960,0.0044,0.6916
194,0.9751,2.9562,0.0636,0.0084,0.0872,0.0520,0.0988,0.0084,0.6816
195,0.9785,2.9622,0.0644,0.0072,0.0852,0.0492,0.0988,0.0076,0.6876
196,0.9790,2.9627,0.0560,0.0076,0.0820,0.0524,0.0952,0.0064,0.7004
197,0.9773,2.9601,0.0576,0.0092,0.0792,0.0540,0.0888,0.0060,0.7052
198,0.9756,2.9564,0.0536,0.0104,0.0752,0.0576,0.0892,0.0064,0.7076
199,0.9728,2.9519,0.0560,0.0100,0.0756,0.0568,0.0836,0.0092,0.7088
