generation,cooperation_rate,average_payoff,frac_AllC,frac_AllD,frac_TFT,frac_GTFT,frac_Pavlov,frac_Random,frac_Grudger
0,0.5572,2.3049,0.1524,0.1504,0.2044,0.0988,0.1356,0.1040,0.1544
1,0.3476,1.8414,0.0240,0.4276,0.1320,0.0284,0.0940,0.0624,0.2316
2,0.3893,1.9210,0.0112,0.2888,0.2100,0.0328,0.0980,0.0312,0.3280
3,0.4694,2.0871,0.0100,0.1516,0.3204,0.0532,0.1196,0.0152,0.3300
4,0.5599,2.2784,0.0120,0.0676,0.4560,0.0728,0.1408,0.0032,0.2476
5,0.6294,2.4252,0.0192,0.0368,0.5404,0.0988,0.1712,0.0000,0.1336
6,0.6717,2.5176,0.0276,0.0236,0.5848,0.1256,0.1824,0.0000,0.0560
7,0.6908,2.5553,0.0300,0.0228,0.5824,0.1408,0.1988,0.0004,0.0248
8,0.7028,2.5781,0.0284,0.0208,0.5580,0.1704,0.2052,0.0004,0.0168
9,0.7112,2.5905,0.0300,0.0152,0.5156,0.1960,0.2268,0.0004,0.0160
10,0.7171,2.6002,0.0288,0.0148,0.4808,0.2136,0.2496,0.0000,0.0124
11,0.7251,2.6105,0.0280,0.0104,0.4336,0.2412,0.2728,0.0000,0.0140
12,0.7260,2.6124,0.0292,0.0116,0.4192,0.2384,0.2840,0.0000,0.0176
13,0.7221,2.6047,0.0244,0.0120,0.3720,0.2664,0.3024,0.0004,0.0224
14,0.7284,2.6126,0.0204,0.0100,0.3288,0.2920,0.3264,0.0004,0.0220
15,0.7346,2.6208,0.0196,0.0120,0.2884,0.3164,0.3464,0.0004,0.0168
16,0.7434,2.6322,0.0152,0.0132,0.2512,0.3352,0.3732,0.0000,0.0120
17,0.7518,2.6473,0.0144,0.0108,0.2028,0.3772,0.3924,0.0000,0.0024
18,0.7577,2.6538,0.0132,0.0092,0.1676,0.3920,0.4168,0.0000,0.0012
19,0.7600,2.6569,0.0104,0.0084,0.1368,0.3908,0.4524,0.0000,0.0012
20,0.7645,2.6624,0.0076,0.0072,0.1076,0.4060,0.4696,0.0000,0.0020
21,0.7662,2.6639,0.0080,0.0056,0.0944,0.4032,0.4876,0.0000,0.0012
22,0.7691,2.6674,0.0080,0.0064,0.0716,0.4092,0.5044,0.0000,0.0004
23,0.7686,2.6654,0.0076,0.0072,0.0528,0.4080,0.5224,0.0000,0.0020
24,0.7696,2.6638,0.0076,0.0052,0.0504,0.3828,0.5500,0.0000,0.0040
25,0.7688,2.6633,0.0072,0.0040,0.0408,0.3868,0.5572,0.0004,0.0036
26,0.7675,2.6584,0.0056,0.0096,0.0332,0.3820,0.5664,0.0004,0.0028
27,0.7698,2.6612,0.0036,0.0084,0.0136,0.3916,0.5788,0.0000,0.0040
28,0.7700,2.6606,0.0024,0.0084,0.0120,0.3812,0.5924,0.0000,0.0036
29,0.7697,2.6594,0.0000,0.0052,0.0068,0.3664,0.6160,0.0000,0.0056
30,0.7618,2.6438,0.0000,0.0148,0.0044,0.3632,0.6124,0.0000,0.0052
31,0.7600,2.6406,0.0000,0.0152,0.0004,0.3612,0.6148,0.0004,0.0080
32,0.7625,2.6430,0.0000,0.0120,0.0000,0.3380,0.6408,0.0016,0.0076
33,0.7576,2.6339,0.0004,0.0144,0.0004,0.3116,0.6620,0.0036,0.0076
34,0.7575,2.6319,0.0008,0.0188,0.0000,0.3020,0.6716,0.0016,0.0052
35,0.7593,2.6333,0.0036,0.0176,0.0000,0.2840,0.6896,0.0000,0.0052
36,0.7573,2.6296,0.0068,0.0152,0.0000,0.2668,0.7048,0.0000,0.0064
37,0.7616,2.6357,0.0116,0.0168,0.0000,0.2592,0.7064,0.0004,0.0056
38,0.7627,2.6371,0.0108,0.0140,0.0000,0.2420,0.7288,0.0000,0.0044
39,0.7525,2.6183,0.0068,0.0220,0.0000,0.2280,0.7304,0.0000,0.0128
40,0.7433,2.6002,0.0036,0.0300,0.0000,0.2176,0.7384,0.0000,0.0104
41,0.7501,2.6123,0.0048,0.0236,0.0000,0.1976,0.7680,0.0000,0.0060
42,0.7556,2.6204,0.0032,0.0172,0.0004,0.1840,0.7900,0.0000,0.0052
43,0.7524,2.6136,0.0016,0.0208,0.0000,0.1748,0.7996,0.0000,0.0032
44,0.7524,2.6133,0.0000,0.0200,0.0000,0.1760,0.7988,0.0004,0.0048
45,0.7486,2.6054,0.0000,0.0272,0.0000,0.1632,0.8048,0.0004,0.0044
46,0.7545,2.6160,0.0000,0.0188,0.0000,0.1548,0.8248,0.0000,0.0016
47,0.7544,2.6145,0.0004,0.0208,0.0000,0.1488,0.8296,0.0004,0.0000
48,0.7560,2.6171,0.0000,0.0176,0.0000,0.1396,0.8420,0.0004,0.0004
