generation,cooperation_rate,average_payoff,frac_AllC,frac_AllD,frac_TFT,frac_GTFT,frac_Pavlov,frac_Random,frac_Grudger
0,0.6964,2.9652,0.1524,0.1504,0.2044,0.0988,0.1356,0.1040,0.1544
1,0.1628,1.8454,0.0076,0.6860,0.0264,0.0064,0.0172,0.1944,0.0620
2,0.1082,1.4351,0.0004,0.8008,0.0116,0.0004,0.0072,0.0788,0.1008
3,0.1993,1.5350,0.0000,0.7148,0.0136,0.0000,0.0016,0.0444,0.2256
4,0.3814,1.8804,0.0000,0.5292,0.0252,0.0000,0.0000,0.0340,0.4116
5,0.5878,2.2918,0.0004,0.3296,0.0336,0.0000,0.0004,0.0360,0.6000
6,0.7546,2.6040,0.0000,0.1796,0.0388,0.0000,0.0004,0.0328,0.7484
7,0.8806,2.8576,0.0000,0.0708,0.0416,0.0004,0.0004,0.0408,0.8460
8,0.9301,2.9311,0.0008,0.0356,0.0368,0.0004,0.0004,0.0324,0.8936
9,0.9601,2.9836,0.0000,0.0144,0.0356,0.0004,0.0004,0.0280,0.9212
10,0.9679,2.9777,0.0000,0.0120,0.0324,0.0004,0.0004,0.0208,0.9340
11,0.9851,3.0063,0.0000,0.0008,0.0300,0.0004,0.0004,0.0176,0.9508
12,0.9881,3.0080,0.0000,0.0000,0.0272,0.0004,0.0004,0.0152,0.9568
13,0.9878,3.0101,0.0004,0.0000,0.0252,0.0008,0.0004,0.0168,0.9564
14,0.9870,3.0118,0.0004,0.0000,0.0252,0.0008,0.0004,0.0208,0.9524
15,0.9823,3.0205,0.0004,0.0000,0.0272,0.0008,0.0004,0.0316,0.9396
16,0.9719,3.0254,0.0004,0.0004,0.0288,0.0016,0.0016,0.0480,0.9192
17,0.9610,3.0351,0.0004,0.0004,0.0296,0.0016,0.0012,0.0672,0.8996
18,0.9506,3.0456,0.0012,0.0004,0.0268,0.0016,0.0016,0.0880,0.8804
19,0.9428,3.0575,0.0012,0.0000,0.0268,0.0016,0.0016,0.1028,0.8660
