generation,cooperation_rate,average_payoff,frac_AllC,frac_AllD,frac_TFT,frac_GTFT,frac_Pavlov,frac_Random,frac_Grudger
0,0.6810,2.4739,0.1500,0.1400,0.2400,0.0700,0.1700,0.1500,0.0800
1,0.6746,2.4741,0.2100,0.1500,0.2000,0.0400,0.1600,0.1700,0.0700
2,0.6156,2.3685,0.1400,0.1700,0.2300,0.0600,0.1100,0.2100,0.0800
3,0.5868,2.2889,0.1400,0.2300,0.2400,0.0300,0.1300,0.1200,0.1100
4,0.6323,2.3823,0.1200,0.1800,0.1900,0.0300,0.1900,0.1500,0.1400
5,0.6611,2.4249,0.1000,0.1700,0.2000,0.0600,0.2700,0.1100,0.0900
6,0.6865,2.4715,0.1600,0.1700,0.1700,0.0700,0.2500,0.0800,0.1000
7,0.6757,2.4651,0.2000,0.2000,0.1500,0.0800,0.2200,0.0800,0.0700
8,0.5969,2.3057,0.2000,0.2700,0.1700,0.0600,0.1500,0.0600,0.0900
9,0.4843,2.0959,0.1600,0.3500,0.1800,0.0700,0.1300,0.0600,0.0500
10,0.4308,1.9918,0.1500,0.4100,0.1900,0.0700,0.0900,0.0600,0.0300
11,0.4134,1.9693,0.1600,0.4200,0.1900,0.0300,0.0900,0.0800,0.0300
12,0.2983,1.7172,0.0800,0.5300,0.1700,0.0200,0.1300,0.0600,0.0100
13,0.2976,1.7273,0.0800,0.5500,0.1000,0.0200,0.2100,0.0400,0.0000
14,0.2342,1.5815,0.0400,0.6400,0.0700,0.0200,0.2200,0.0100,0.0000
15,0.1883,1.4726,0.0300,0.7000,0.0700,0.0100,0.1900,0.0000,0.0000
16,0.1315,1.3466,0.0200,0.7700,0.0500,0.0100,0.1500,0.0000,0.0000
17,0.0867,1.2314,0.0000,0.8200,0.0500,0.0000,0.1300,0.0000,0.0000
18,0.0717,1.1983,0.0000,0.8600,0.0200,0.0000,0.1200,0.0000,0.0000
19,0.0440,1.1268,0.0000,0.9100,0.0100,0.0000,0.0800,0.0000,0.0000
20,0.0480,1.1375,0.0000,0.9100,0.0000,0.0000,0.0900,0.0000,0.0000
21,0.0114,1.0336,0.0000,0.9800,0.0000,0.0000,0.0200,0.0000,0.0000
22,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,0.0011,1.0032,0.0000,0.9900,0.0100,0.0000,0.0000,0.0000,0.0000
28,0.0031,1.0091,0.0000,0.9700,0.0300,0.0000,0.0000,0.0000,0.0000
29,0.0012,1.0037,0.0000,0.9900,0.0100,0.0000,0.0000,0.0000,0.0000
30,0.0009,1.0027,0.0000,0.9900,0.0100,0.0000,0.0000,0.0000,0.0000
31,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,0.0010,1.0029,0.0000,0.9900,0.0000,0.0000,0.0000,0.0000,0.0100
36,0.0033,1.0094,0.0000,0.9700,0.0000,0.0000,0.0000,0.0000,0.0300
37,0.0131,1.0384,0.0100,0.9600,0.0000,0.0000,0.0000,0.0000,0.0300
38,0.0070,1.0192,0.0000,0.9400,0.0000,0.0000,0.0000,0.0000,0.0600
39,0.0089,1.0233,0.0000,0.9400,0.0000,0.0000,0.0000,0.0000,0.0600
40,0.0041,1.0119,0.0000,0.9600,0.0000,0.0000,0.0000,0.0000,0.0400
41,0.0020,1.0059,0.0000,0.9800,0.0000,0.0000,0.0000,0.0000,0.0200
42,0.0017,1.0052,0.0000,0.9800,0.0000,0.0000,0.0000,0.0000,0.0200
43,0.0017,1.0051,0.0000,0.9800,0.0000,0.0000,0.0000,0.0000,0.0200
44,0.0019,1.0057,0.0000,0.9800,0.0000,0.0000,0.0000,0.0000,0.0200
45,0.0009,1.0029,0.0000,0.9900,0.0000,0.0000,0.0000,0.0000,0.0100
46,0.0052,1.0154,0.0000,0.9900,0.0000,0.0000,0.0000,0.0100,0.0000
47,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
48,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
49,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
50,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
51,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
52,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
53,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
54,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
55,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
56,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
57,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
58,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
59,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
61,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
62,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
63,0.0045,1.0135,0.0000,0.9900,0.0000,0.0000,0.0100,0.0000,0.0000
64,0.0041,1.0124,0.0000,0.9900,0.0000,0.0000,0.0100,0.0000,0.0000
65,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
66,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
67,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
68,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
69,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
70,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
