tick,population,gini,mean_wealth,median_wealth,mean_metabolism,mean_vision,total_grid_sugar
0,400,0.21830516086885512,15.3075,15.0,2.5375,3.4675,2978.0
1,400,0.2385372616984402,14.425,15.0,2.5375,3.4675,2647.0
2,397,0.26768292767024815,13.801007556675064,14.0,2.526448362720403,3.4760705289672544,2454.0
3,381,0.28382291139782023,13.68766404199475,13.0,2.490813648293963,3.5039370078740157,2361.0
4,360,0.29331644408652663,13.797222222222222,13.0,2.422222222222222,3.522222222222222,2333.0
5,344,0.308305595702127,13.892441860465116,14.0,2.366279069767442,3.5436046511627906,2323.0
6,331,0.32619265543320625,13.990936555891238,13.0,2.3413897280966767,3.598187311178248,2318.0
7,317,0.34155745153931083,14.268138801261829,13.0,2.2902208201892744,3.6277602523659307,2303.0
8,300,0.34624971827811585,14.79,14.0,2.2266666666666666,3.68,2306.0
9,285,0.34725729794981874,15.4,14.0,2.1578947368421053,3.729824561403509,2318.0
10,275,0.35437971213159697,15.916363636363636,15.0,2.12,3.76,2325.0
11,264,0.3561073272699586,16.583333333333332,16.0,2.0757575757575757,3.772727272727273,2331.0
12,252,0.3529507853478743,17.4484126984127,16.0,2.003968253968254,3.7976190476190474,2344.0
13,244,0.35079572665315895,18.237704918032787,17.0,1.9549180327868851,3.8155737704918034,2352.0
14,239,0.35577099704051435,18.87029288702929,17.0,1.9288702928870294,3.8158995815899583,2362.0
15,234,0.3588512999507764,19.58974358974359,18.5,1.8888888888888888,3.799145299145299,2371.0
16,228,0.3563922367389502,20.513157894736842,19.0,1.8421052631578947,3.7982456140350878,2374.0
17,225,0.36029865326913685,21.23111111111111,19.0,1.8222222222222222,3.8133333333333335,2386.0
18,221,0.358522518418521,22.1131221719457,20.0,1.8009049773755657,3.832579185520362,2389.0
19,219,0.3611101985991116,22.84931506849315,21.0,1.7899543378995433,3.835616438356164,2388.0
20,217,0.3634612615207373,23.59447004608295,21.0,1.7880184331797235,3.8433179723502304,2390.0
21,215,0.36481548849631334,24.38139534883721,22.0,1.7813953488372094,3.8511627906976744,2390.0
22,213,0.36522987902576914,25.2018779342723,23.0,1.7699530516431925,3.859154929577465,2390.0
23,209,0.35933240786382015,26.28708133971292,24.0,1.7511961722488039,3.84688995215311,2398.0
24,205,0.352498375427804,27.463414634146343,25.0,1.721951219512195,3.8536585365853657,2397.0
25,204,0.35432059707991453,28.254901960784313,26.0,1.7156862745098038,3.857843137254902,2404.0
26,201,0.3494704660976958,29.37313432835821,27.0,1.7014925373134329,3.8756218905472637,2405.0
27,199,0.3479328177184916,30.386934673366834,28.0,1.6884422110552764,3.879396984924623,2404.0
28,198,0.3496485292413552,31.257575757575758,28.5,1.6818181818181819,3.878787878787879,2411.0
29,197,0.3503579577500897,32.16243654822335,29.0,1.6751269035532994,3.883248730964467,2417.0
30,196,0.3507609823590453,33.11224489795919,29.5,1.6683673469387754,3.88265306122449,2418.0
31,195,0.35071795643998627,34.05641025641026,31.0,1.6615384615384616,3.876923076923077,2415.0
32,194,0.3514276079648935,34.98453608247423,31.5,1.6546391752577319,3.881443298969072,2417.0
33,194,0.35434931501761296,35.7680412371134,32.5,1.6546391752577319,3.881443298969072,2420.0
34,193,0.3537257692923161,36.740932642487046,34.0,1.6476683937823835,3.8704663212435233,2418.0
35,192,0.3528746546961326,37.708333333333336,34.5,1.640625,3.875,2421.0
36,192,0.35558468651330627,38.489583333333336,35.0,1.640625,3.875,2422.0
37,191,0.35475073800264173,39.49214659685864,36.0,1.6335078534031413,3.8743455497382198,2427.0
38,191,0.35703489857719933,40.33507853403141,37.0,1.6335078534031413,3.8743455497382198,2432.0
39,190,0.3562264858278997,41.37894736842105,39.0,1.6263157894736842,3.863157894736842,2434.0
40,189,0.3548696820586221,42.48148148148148,40.0,1.619047619047619,3.8624338624338623,2431.0
41,189,0.3564177743154669,43.33862433862434,41.0,1.619047619047619,3.8624338624338623,2437.0
42,189,0.3577216301440945,44.18518518518518,42.0,1.619047619047619,3.8624338624338623,2444.0
43,189,0.35944664385246816,45.05820105820106,43.0,1.619047619047619,3.8624338624338623,2437.0
44,189,0.36144488663220653,45.8994708994709,44.0,1.619047619047619,3.8624338624338623,2441.0
45,189,0.3632072000272837,46.78835978835979,45.0,1.619047619047619,3.8624338624338623,2444.0
