tick,population,gini,mean_wealth,median_wealth,mean_metabolism,mean_vision,total_grid_sugar
0,400,0.23331930321720287,14.9975,15.0,3.5375,5.585,2978.0
1,399,0.27478429929280673,13.466165413533835,14.0,3.531328320802005,5.586466165413534,2541.0
2,376,0.3009772746173408,12.928191489361701,13.0,3.4148936170212765,5.6436170212765955,2263.0
3,343,0.31486880466472306,12.574344023323615,12.0,3.2565597667638486,5.7871720116618075,2224.0
4,311,0.32897348846334173,12.437299035369774,12.0,3.0739549839228295,5.916398713826367,2273.0
5,288,0.354018995212336,12.409722222222221,11.5,2.9409722222222223,6.020833333333333,2299.0
6,259,0.3532349908904083,13.042471042471043,12.0,2.7258687258687258,6.030888030888031,2301.0
7,239,0.3627786764506538,13.560669456066945,13.0,2.5606694560669454,6.075313807531381,2320.0
8,230,0.3899267778099533,13.708695652173914,12.5,2.4869565217391303,6.073913043478261,2367.0
9,211,0.3830548998428312,14.80568720379147,13.0,2.3364928909952605,6.161137440758294,2382.0
10,196,0.3716381021575827,16.051020408163264,15.0,2.183673469387755,6.11734693877551,2375.0
11,183,0.35458180326152083,17.39344262295082,16.0,2.081967213114754,6.169398907103825,2394.0
12,180,0.3652888888888889,18.055555555555557,17.0,2.061111111111111,6.138888888888889,2423.0
13,174,0.3602828825108404,19.195402298850574,18.5,2.0,6.160919540229885,2419.0
14,168,0.350961804978103,20.452380952380953,20.0,1.9404761904761905,6.166666666666667,2421.0
15,162,0.3383302277215976,21.839506172839506,21.0,1.882716049382716,6.216049382716049,2431.0
16,162,0.34647550776583036,22.580246913580247,21.0,1.882716049382716,6.216049382716049,2437.0
17,160,0.3460778145695364,23.59375,23.0,1.86875,6.2625,2441.0
18,159,0.3484083212385099,24.528301886792452,25.0,1.8553459119496856,6.238993710691824,2442.0
19,156,0.3417615155450309,25.82051282051282,26.0,1.8269230769230769,6.243589743589744,2436.0
20,155,0.3427728109489448,26.793548387096774,27.0,1.8258064516129033,6.27741935483871,2442.0
21,154,0.3427721810899381,27.792207792207794,28.0,1.8116883116883118,6.253246753246753,2449.0
22,153,0.34179928009851285,28.862745098039216,29.0,1.803921568627451,6.2745098039215685,2447.0
23,152,0.3399151719113208,29.94078947368421,30.0,1.7960526315789473,6.309210526315789,2455.0
