tick,population,gini,mean_wealth,median_wealth,mean_metabolism,mean_vision,total_grid_sugar
0,800,0.22901841757515692,15.135,15.0,2.5375,3.465,2978.0
1,800,0.2526471041281577,14.20125,14.0,2.5375,3.465,2331.0
2,785,0.2800649545251994,13.456050955414012,13.0,2.5121019108280254,3.484076433121019,2100.0
3,745,0.29524264619699514,12.989261744966443,13.0,2.4630872483221475,3.506040268456376,2055.0
4,706,0.31739004756105615,12.576487252124647,12.0,2.4022662889518416,3.508498583569405,2071.0
5,653,0.32315206862484347,12.63552833078101,12.0,2.306278713629403,3.5359877488514546,2051.0
6,609,0.3315866171407042,12.724137931034482,12.0,2.226600985221675,3.5632183908045976,2061.0
7,580,0.3507296229735295,12.703448275862069,11.0,2.168965517241379,3.6,2071.0
8,548,0.36466896173588187,12.89963503649635,12.0,2.1076642335766422,3.6295620437956204,2068.0
9,511,0.36755831734001604,13.391389432485322,12.0,2.0176125244618395,3.6516634050880628,2074.0
10,481,0.3708351294558191,13.927234927234927,13.0,1.9355509355509355,3.7068607068607067,2096.0
11,453,0.36642527900047134,14.640176600441501,14.0,1.8476821192052981,3.7108167770419427,2106.0
12,430,0.3600751774046231,15.395348837209303,14.0,1.786046511627907,3.713953488372093,2134.0
13,412,0.35331995036134023,16.140776699029125,15.0,1.7378640776699028,3.7402912621359223,2158.0
14,398,0.34833753527273215,16.881909547738694,16.0,1.6909547738693467,3.7035175879396984,2167.0
15,387,0.3453763533842999,17.6046511627907,17.0,1.6537467700258397,3.6847545219638245,2177.0
16,381,0.34743587263989056,18.165354330708663,17.0,1.6351706036745406,3.6981627296587924,2190.0
17,371,0.34274425620216054,18.973045822102424,18.0,1.6064690026954178,3.6900269541778976,2195.0
18,365,0.34265217092345424,19.649315068493152,19.0,1.5835616438356164,3.673972602739726,2200.0
19,362,0.3467600852722493,20.196132596685082,19.0,1.574585635359116,3.679558011049724,2208.0
20,352,0.33777563446207853,21.1875,20.0,1.5426136363636365,3.6619318181818183,2213.0
21,345,0.3316492974305706,22.081159420289854,21.0,1.518840579710145,3.6666666666666665,2223.0
22,343,0.3332541463726698,22.720116618075803,22.0,1.510204081632653,3.6676384839650145,2223.0
23,339,0.3314855095809106,23.49852507374631,22.0,1.4955752212389382,3.6607669616519174,2214.0
24,335,0.32874290622636937,24.274626865671642,23.0,1.480597014925373,3.6507462686567163,2221.0
25,332,0.3271708145042542,25.015060240963855,23.0,1.4698795180722892,3.6626506024096384,2235.0
26,328,0.32340989399293285,25.884146341463413,23.0,1.454268292682927,3.658536585365854,2241.0
27,326,0.3232193255066897,26.631901840490798,24.0,1.4447852760736197,3.6564417177914113,2246.0
28,325,0.32393014084507044,27.307692307692307,25.0,1.44,3.6553846153846155,2250.0
29,322,0.320855624127398,28.17080745341615,26.0,1.4285714285714286,3.6490683229813663,2249.0
30,322,0.32326113425570707,28.785714285714285,27.0,1.4285714285714286,3.6490683229813663,2249.0
31,320,0.32129186918850383,29.575,28.0,1.41875,3.6375,2249.0
32,319,0.321658453550276,30.28526645768025,29.0,1.4137931034482758,3.633228840125392,2254.0
33,318,0.321755520685828,31.0062893081761,30.0,1.4088050314465408,3.638364779874214,2261.0
34,317,0.3225083347598203,31.741324921135647,31.0,1.4069400630914826,3.6466876971608833,2262.0
35,317,0.3245566972168089,32.38485804416404,31.0,1.4069400630914826,3.6466876971608833,2263.0
36,317,0.3267343378557935,33.02839116719243,32.0,1.4069400630914826,3.6466876971608833,2263.0
37,315,0.3248698073550477,33.87619047619047,32.0,1.4,3.6476190476190475,2268.0
38,315,0.3262562427098434,34.51746031746032,32.0,1.4,3.6476190476190475,2270.0
39,314,0.32593568926214483,35.27388535031847,33.5,1.394904458598726,3.6464968152866244,2261.0
40,313,0.32674183227659465,35.99361022364217,34.0,1.3929712460063899,3.6453674121405752,2266.0
41,313,0.32949546984100864,36.59744408945687,35.0,1.3929712460063899,3.6453674121405752,2270.0
42,312,0.32970812219072976,37.31730769230769,35.5,1.391025641025641,3.6538461538461537,2279.0
43,310,0.3280610563079077,38.196774193548386,37.0,1.3870967741935485,3.6548387096774193,2282.0
44,308,0.3256865996364585,39.11038961038961,37.5,1.3831168831168832,3.6623376623376624,2278.0
45,307,0.32545786405824995,39.88925081433225,38.0,1.3811074918566775,3.6710097719869705,2287.0
46,307,0.3276777214236812,40.557003257328994,39.0,1.3811074918566775,3.6710097719869705,2291.0
