tick,population,gini,mean_wealth,median_wealth,mean_metabolism,mean_vision,total_grid_sugar
0,800,0.23411634084147898,14.70625,15.0,2.46125,3.52,3018.0
1,800,0.2831875736160189,12.735,13.0,2.46125,3.52,2816.0
2,751,0.3157946762777952,11.587217043941411,11.0,2.3794940079893476,3.496671105193076,2689.0
3,669,0.32670952483672816,11.155455904334827,11.0,2.2556053811659194,3.4962630792227203,2610.0
4,612,0.36337086950363223,10.555555555555555,10.0,2.165032679738562,3.485294117647059,2572.0
5,538,0.3810965135856887,10.559479553903346,9.0,2.046468401486989,3.5446096654275094,2541.0
6,476,0.4023303078593039,10.701680672268907,9.0,1.9621848739495797,3.581932773109244,2525.0
7,422,0.4177953819613125,11.07345971563981,9.0,1.8601895734597156,3.5497630331753554,2516.0
8,376,0.4296872719843563,11.632978723404255,9.0,1.7765957446808511,3.547872340425532,2511.0
9,338,0.4335465080812996,12.340236686390533,9.0,1.7514792899408285,3.6153846153846154,2510.0
10,309,0.4411985668053629,13.048543689320388,10.0,1.7378640776699028,3.6245954692556634,2505.0
11,281,0.43882603889442706,14.0,11.0,1.686832740213523,3.6654804270462633,2505.0
12,258,0.43472409286362773,15.05813953488372,11.0,1.6705426356589148,3.6627906976744184,2506.0
13,246,0.4422396112706276,15.711382113821138,12.0,1.6788617886178863,3.7113821138211383,2518.0
14,233,0.4440256556246261,16.59656652360515,11.0,1.6781115879828326,3.708154506437768,2520.0
15,224,0.45187701879312875,17.375,13.0,1.7008928571428572,3.71875,2515.0
16,214,0.45401544668697913,18.30373831775701,15.0,1.7289719626168225,3.7429906542056073,2521.0
17,205,0.4550791959043612,19.31219512195122,17.0,1.726829268292683,3.7853658536585364,2521.0
18,192,0.4401255814436415,20.901041666666668,19.0,1.7395833333333333,3.8072916666666665,2520.0
19,185,0.43667461579226285,22.054054054054053,20.0,1.7351351351351352,3.810810810810811,2527.0
20,179,0.43265201976794154,23.24022346368715,22.0,1.7206703910614525,3.804469273743017,2533.0
21,173,0.42584289362558087,24.583815028901736,23.0,1.745664739884393,3.8497109826589595,2533.0
22,161,0.39610539127002403,26.975155279503106,25.0,1.7515527950310559,3.937888198757764,2537.0
23,156,0.38492379173584207,28.512820512820515,26.0,1.75,4.0256410256410255,2540.0
24,150,0.36705547029160274,30.406666666666666,28.0,1.78,4.053333333333334,2545.0
25,140,0.3264531598399462,33.40714285714286,31.0,1.8142857142857143,4.085714285714285,2554.0
26,140,0.32803979803979805,34.357142857142854,32.5,1.8142857142857143,4.085714285714285,2554.0
27,140,0.329835842894714,35.30714285714286,33.5,1.8142857142857143,4.085714285714285,2549.0
28,139,0.32791117263917574,36.489208633093526,34.0,1.7985611510791366,4.071942446043166,2547.0
29,139,0.3300643113487688,37.43884892086331,36.0,1.7985611510791366,4.071942446043166,2551.0
30,139,0.3328655793746116,38.39568345323741,37.0,1.7985611510791366,4.071942446043166,2552.0
31,138,0.32983855167775994,39.666666666666664,38.0,1.789855072463768,4.086956521739131,2554.0
32,138,0.3320317745617569,40.666666666666664,39.5,1.789855072463768,4.086956521739131,2558.0
33,138,0.3339682731652254,41.68115942028985,41.0,1.789855072463768,4.086956521739131,2552.0
34,138,0.33648821847579613,42.608695652173914,42.0,1.789855072463768,4.086956521739131,2551.0
35,138,0.339099086064289,43.55072463768116,43.0,1.789855072463768,4.086956521739131,2554.0
36,138,0.340848443702677,44.55072463768116,44.0,1.789855072463768,4.086956521739131,2551.0
37,138,0.342579506932321,45.47826086956522,45.0,1.789855072463768,4.086956521739131,2552.0
38,138,0.3446245675913993,46.44927536231884,46.0,1.789855072463768,4.086956521739131,2554.0
39,138,0.3472690141250634,47.41304347826087,47.0,1.789855072463768,4.086956521739131,2556.0
40,137,0.3448041355241348,48.72992700729927,48.0,1.781021897810219,4.102189781021898,2553.0
41,137,0.34611893384145653,49.715328467153284,49.0,1.781021897810219,4.102189781021898,2549.0
42,137,0.34842788592484936,50.66423357664234,50.0,1.781021897810219,4.102189781021898,2554.0
43,136,0.34564642702756626,52.029411764705884,51.5,1.7720588235294117,4.117647058823529,2555.0
44,136,0.3479293382863208,52.97794117647059,52.5,1.7720588235294117,4.117647058823529,2561.0
45,136,0.34932080461612436,53.970588235294116,53.5,1.7720588235294117,4.117647058823529,2563.0
46,136,0.3509420894394686,54.955882352941174,55.5,1.7720588235294117,4.117647058823529,2561.0
47,135,0.348007907986872,56.34074074074074,57.0,1.762962962962963,4.118518518518519,2565.0
48,135,0.3487735605473793,57.37777777777778,58.0,1.762962962962963,4.118518518518519,2565.0
49,135,0.35040306668921584,58.4,60.0,1.762962962962963,4.118518518518519,2565.0
