tick,population,gini,mean_wealth,median_wealth,mean_metabolism,mean_vision,total_grid_sugar
0,400,0.21830516086885512,15.3075,15.0,2.5375,3.4675,2978.0
1,400,0.2385372616984402,14.425,15.0,2.5375,3.4675,2398.75
2,397,0.26820180488746426,13.789672544080604,14.0,2.526448362720403,3.4760705289672544,1846.5
3,381,0.2883237362582722,13.57742782152231,13.0,2.490813648293963,3.5039370078740157,1401.0
4,357,0.301059927404665,13.256302521008404,13.0,2.411764705882353,3.5238095238095237,1216.5
5,337,0.3233165349181948,12.671364985163205,12.0,2.335311572700297,3.5519287833827895,1164.0
6,313,0.34080747316979887,12.276357827476039,11.75,2.258785942492013,3.5814696485623,1160.75
7,289,0.35719578769046045,12.000865051903114,11.0,2.179930795847751,3.6505190311418687,1187.5
8,258,0.35291433617898144,12.248062015503876,11.0,2.0310077519379846,3.697674418604651,1227.25
9,236,0.3526859289072394,12.419491525423728,11.125,1.8983050847457628,3.7245762711864407,1274.75
10,220,0.3550103492459835,12.577272727272728,11.0,1.8,3.7181818181818183,1316.0
11,207,0.3571853905292805,12.766908212560386,11.25,1.710144927536232,3.743961352657005,1351.0
12,197,0.36290948319953137,12.90989847715736,11.5,1.6548223350253808,3.7563451776649748,1380.25
13,185,0.3532537697029351,13.358108108108109,12.25,1.572972972972973,3.7567567567567566,1406.75
14,178,0.3537527254414374,13.599719101123595,12.625,1.5337078651685394,3.741573033707865,1438.0
15,174,0.3634225777212065,13.701149425287356,12.5,1.5057471264367817,3.718390804597701,1469.5
16,171,0.3752841549967897,13.7953216374269,12.5,1.4853801169590644,3.754385964912281,1495.25
17,164,0.36866131824822834,14.301829268292684,13.125,1.4573170731707317,3.8109756097560976,1514.5
18,162,0.3769232590067699,14.487654320987655,13.125,1.4506172839506173,3.808641975308642,1524.75
19,154,0.35859930602067636,15.329545454545455,13.625,1.4025974025974026,3.811688311688312,1528.5
20,152,0.36290005428220096,15.62828947368421,13.75,1.394736842105263,3.8157894736842106,1543.0
21,151,0.3716001461826397,15.841059602649006,14.25,1.390728476821192,3.834437086092715,1557.75
22,148,0.3682617386521942,16.35304054054054,14.875,1.3716216216216217,3.8445945945945947,1563.5
23,147,0.37236670540843403,16.663265306122447,15.5,1.3673469387755102,3.857142857142857,1569.0
24,143,0.36345326375537856,17.36013986013986,16.25,1.3496503496503496,3.8811188811188813,1569.0
25,142,0.36819524388671865,17.697183098591548,16.875,1.3450704225352113,3.8661971830985915,1577.25
26,141,0.37224507408876734,18.06737588652482,17.75,1.3404255319148937,3.851063829787234,1583.0
27,138,0.3658925788291606,18.715579710144926,18.75,1.326086956521739,3.8840579710144927,1589.75
28,135,0.35915988556110773,19.394444444444446,19.5,1.3111111111111111,3.9185185185185185,1604.25
29,135,0.3636697554052926,19.71851851851852,19.75,1.3111111111111111,3.9185185185185185,1614.75
30,134,0.36255227045376054,20.236940298507463,20.25,1.3059701492537314,3.9402985074626864,1617.75
31,134,0.36678358006293327,20.61007462686567,20.625,1.3059701492537314,3.9402985074626864,1620.5
32,130,0.35273571213407456,21.607692307692307,21.375,1.2846153846153847,3.9384615384615387,1626.5
33,129,0.35112995959875515,22.147286821705425,22.0,1.2790697674418605,3.9224806201550386,1639.5
34,128,0.3496110538078047,22.72265625,22.75,1.2734375,3.921875,1651.5
35,128,0.3530621945310525,23.177734375,23.5,1.2734375,3.921875,1659.25
36,126,0.3452233482376351,24.025793650793652,24.25,1.2619047619047619,3.9444444444444446,1666.0
37,125,0.3418521098242488,24.694,25.25,1.256,3.944,1675.5
38,124,0.33853405530686437,25.366935483870968,26.125,1.25,3.9274193548387095,1685.0
39,124,0.34078032190195134,25.87298387096774,26.75,1.25,3.9274193548387095,1691.75
40,122,0.33103606607421904,26.850409836065573,28.125,1.2377049180327868,3.9262295081967213,1692.5
41,122,0.33299364275833654,27.39344262295082,29.125,1.2377049180327868,3.9262295081967213,1697.5
42,122,0.3334297559347911,27.987704918032787,30.125,1.2377049180327868,3.9262295081967213,1697.75
43,121,0.32939736507800566,28.710743801652892,30.5,1.2314049586776858,3.9338842975206614,1711.25
44,121,0.3307419224374242,29.25826446280992,31.25,1.2314049586776858,3.9338842975206614,1721.0
45,120,0.3259744228418552,30.110416666666666,32.375,1.225,3.925,1723.75
46,119,0.3211609847190909,31.008403361344538,33.25,1.218487394957983,3.9327731092436973,1725.75
47,119,0.32232470284405135,31.60924369747899,34.25,1.218487394957983,3.9327731092436973,1732.75
48,119,0.32345925586514285,32.21008403361345,35.0,1.218487394957983,3.9327731092436973,1737.75
49,119,0.32296004774270554,32.83613445378151,36.0,1.218487394957983,3.9327731092436973,1737.5
50,119,0.32378917890352926,33.436974789915965,37.0,1.218487394957983,3.9327731092436973,1735.75
51,119,0.3244995888025703,34.04621848739496,38.0,1.218487394957983,3.9327731092436973,1732.5
52,118,0.3192751641981273,34.936440677966104,38.625,1.2118644067796611,3.9237288135593222,1730.0
53,117,0.3137722855277378,35.85897435897436,39.25,1.205128205128205,3.923076923076923,1728.5
54,117,0.3143658759808555,36.51709401709402,40.5,1.205128205128205,3.923076923076923,1725.25
55,116,0.30878499708646656,37.49568965517241,41.75,1.1982758620689655,3.9224137931034484,1724.25
56,116,0.30961929507455943,38.1551724137931,42.25,1.1982758620689655,3.9224137931034484,1727.5
57,115,0.3039022669392213,39.11739130434783,43.25,1.191304347826087,3.9304347826086956,1737.0
58,115,0.30304836665828205,39.8304347826087,44.25,1.191304347826087,3.9304347826086956,1738.0
59,115,0.3029440980464396,40.53478260869565,45.5,1.191304347826087,3.9304347826086956,1737.0
60,114,0.29660356651426023,41.57675438596491,46.625,1.1842105263157894,3.9210526315789473,1737.0
