tick,population,gini,mean_wealth,median_wealth,mean_metabolism,mean_vision,total_grid_sugar
0,400,0.21830516086885512,15.3075,15.0,2.5375,3.4675,2978.0
1,400,0.2385372616984402,14.425,15.0,2.5375,3.4675,2647.0
2,397,0.26768292767024815,13.801007556675064,14.0,2.526448362720403,3.4760705289672544,2454.0
3,381,0.28382291139782023,13.68766404199475,13.0,2.490813648293963,3.5039370078740157,2361.0
4,360,0.29331644408652663,13.797222222222222,13.0,2.422222222222222,3.522222222222222,2333.0
5,344,0.308305595702127,13.892441860465116,14.0,2.366279069767442,3.5436046511627906,2323.0
6,331,0.32619265543320625,13.990936555891238,13.0,2.3413897280966767,3.598187311178248,2318.0
7,317,0.34155745153931083,14.268138801261829,13.0,2.2902208201892744,3.6277602523659307,2303.0
8,300,0.34624971827811585,14.79,14.0,2.2266666666666666,3.68,2306.0
9,285,0.34725729794981874,15.4,14.0,2.1578947368421053,3.729824561403509,2318.0
10,275,0.35437971213159697,15.916363636363636,15.0,2.12,3.76,2325.0
11,264,0.3561073272699586,16.583333333333332,16.0,2.0757575757575757,3.772727272727273,2331.0
12,252,0.3529507853478743,17.4484126984127,16.0,2.003968253968254,3.7976190476190474,2344.0
13,244,0.35079572665315895,18.237704918032787,17.0,1.9549180327868851,3.8155737704918034,2352.0
14,239,0.35577099704051435,18.87029288702929,17.0,1.9288702928870294,3.8158995815899583,2362.0
15,235,0.3556923248301214,19.506382978723405,19.0,1.8851063829787233,3.8,2371.0
16,231,0.3408769265087418,20.246753246753247,19.0,1.826839826839827,3.831168831168831,2375.0
17,233,0.3413178701324328,20.536480686695278,20.0,1.8111587982832618,3.8454935622317596,2385.0
18,232,0.3303891615570681,21.137931034482758,21.0,1.7801724137931034,3.8879310344827585,2373.0
19,228,0.3233148845026328,22.021929824561404,22.0,1.75,3.8684210526315788,2367.0
20,227,0.3184636349611752,22.643171806167402,23.0,1.7356828193832599,3.8854625550660793,2374.0
21,224,0.3174120686386045,23.544642857142858,23.0,1.7232142857142858,3.924107142857143,2364.0
22,222,0.30813128508853105,24.33783783783784,25.0,1.6981981981981982,3.9324324324324325,2362.0
23,226,0.2961922751503849,24.48230088495575,25.0,1.6858407079646018,3.9424778761061945,2373.0
24,226,0.29780671318856966,25.11061946902655,25.5,1.6814159292035398,3.9513274336283186,2360.0
25,231,0.2903903850221813,25.16017316017316,25.5,1.6623376623376624,3.965367965367965,2355.0
26,232,0.2835265140538974,25.646551724137932,26.0,1.646551724137931,3.9741379310344827,2350.0
27,234,0.27643323359719224,26.03846153846154,27.0,1.623931623931624,4.0085470085470085,2339.0
28,235,0.269744086895078,26.52340425531915,27.5,1.6042553191489362,4.004255319148936,2346.0
29,237,0.2636859903190127,26.945147679324894,28.0,1.5822784810126582,3.9662447257383966,2350.0
30,240,0.25418448109126074,27.2875,28.0,1.5583333333333333,3.9583333333333335,2347.0
31,247,0.24426983476980732,27.178137651821864,28.0,1.5384615384615385,3.97165991902834,2352.0
32,252,0.2409910843873108,27.341269841269842,28.0,1.5357142857142858,3.9722222222222223,2335.0
33,254,0.23404377475610394,27.80708661417323,29.0,1.5196850393700787,4.003937007874016,2328.0
34,256,0.2281088026952315,28.26171875,29.0,1.5078125,4.0,2323.0
35,259,0.22403854020806377,28.606177606177607,30.0,1.498069498069498,3.996138996138996,2327.0
36,261,0.21880115139374062,29.084291187739463,30.25,1.4789272030651341,3.996168582375479,2328.0
37,262,0.21407074334059453,29.706106870229007,31.0,1.4618320610687023,4.0,2318.0
38,262,0.21385228001953893,30.419847328244273,32.0,1.4541984732824427,3.99618320610687,2319.0
39,264,0.21106688282506397,30.90530303030303,32.0,1.4431818181818181,3.996212121212121,2320.0
40,269,0.2063684410118361,31.04832713754647,32.0,1.4275092936802973,4.007434944237918,2311.0
41,275,0.2034078931959246,31.05090909090909,32.25,1.4145454545454546,4.043636363636364,2313.0
42,284,0.20131001709996793,30.77112676056338,32.0,1.408450704225352,4.070422535211268,2307.0
43,288,0.19531143275834234,31.06597222222222,31.75,1.3958333333333333,4.076388888888889,2284.0
44,292,0.18826632748245561,31.33219178082192,31.875,1.3869863013698631,4.085616438356165,2272.0
45,297,0.18512450061278812,31.478114478114477,31.75,1.3838383838383839,4.084175084175084,2263.0
